memory_score,subj_idx,image,emotional,trialnr_enc,emotion_score,rt_emotion,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
NaN,10,163,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1352.78461749681,NaN,NaN,-0.289104559858815,-0.289714490538293
NaN,10,164,0,72,0,1846.85103453512,-0.517442097695092,-0.484213888395715,0,0,1,0,982.484509586811,NaN,NaN,0.436759126344994,-0.0850534446355538
4,10,165,0,45,2,1766.4839412738,-0.0673958748492291,0.11395231121242,1,1,1,1,2173.18592385732,4,791.605985991055,-1.4122798974528,1.07943396316938
3,10,166,1,43,1,1871.38936099359,-0.345254495880995,-0.11094453100484,0,0,1,1,1303.14632778709,3,532.62193126875,0.561620581348541,-0.743544696946595
4,10,167,0,131,0,1561.61239760991,-0.323401256646483,0.124921014236702,1,1,1,1,1241.82687434313,4,382.379679041605,0.107689975711031,-0.202702388039893
NaN,10,168,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1613.65485216584,NaN,NaN,0.023521921994559,-0.510373265812594
2,10,169,0,2,1,1061.75655360789,1.95225178266878,0.180934391007222,0,0,1,1,1349.23327426714,2,497.387897396948,0.252080272726865,-0.693879525954263
NaN,10,170,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1163.3967534608,NaN,NaN,-0.192785519136361,-0.490536332769858
4,10,171,0,22,0,1311.77808873599,-0.474844124306101,-0.0697626819907847,1,1,1,1,1797.82396423707,4,322.257693240317,1.0328902086085,-0.868476997332094
NaN,10,172,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1354.03725911101,NaN,NaN,0.0739099539978997,-1.72770771069521
4,10,173,0,144,0,1618.95917101219,-1.53889658792119,-0.550855234288164,0,0,1,1,1329.11017215565,4,695.199094633608,0.0475030870038853,1.27460626678851
NaN,10,174,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1829.01554237969,NaN,NaN,-0.972027996270031,0.3896741782534
2,10,175,0,21,0,1092.43704218409,-1.26785852425265,0.0569587406374823,0,0,1,1,1788.98810936744,2,633.574996711104,1.52884671159997,-0.856081933943632
NaN,10,176,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,988.58459781377,NaN,NaN,2.45373487511873,-1.90597628973193
NaN,10,177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1039.16967022633,NaN,NaN,-0.462542857411822,0.129533580350165
NaN,10,178,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2551.77403564244,NaN,NaN,-0.787536188190282,-0.602065738529376
NaN,10,179,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1386.34931795968,NaN,NaN,1.30123891073151,-0.733572357576285
4,10,180,1,108,2,2248.09979636348,0.743660521879953,-1.01001157830024,0,0,1,1,1154.58446481307,4,534.286132214675,0.497318325484769,-0.846923255348413
4,10,181,0,75,0,1474.63434069687,-1.20608450463957,0.115502677410951,0,0,1,1,1410.00836591365,4,488.618443760288,-0.960120445651171,0.701989439651019
NaN,10,182,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1226.95439884274,NaN,NaN,-0.675415768885129,0.174526567984647
NaN,10,183,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1157.28206602125,NaN,NaN,-0.550621489351914,-0.692702876391597
4,10,184,1,83,2,1248.09142428921,-1.15660606612895,0.350321192942333,1,0,1,1,1165.87701593517,4,548.432802594107,-1.00861228405029,-0.169178838683157
NaN,10,185,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1169.52202660423,NaN,NaN,0.566282528316834,0.572729839157958
NaN,10,186,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1047.85443823266,NaN,NaN,0.332919266005373,-1.55467643575393
NaN,10,187,0,36,0,1073.18138180563,1.40885627008174,-1.57893686780939,0,0,1,0,960.109539579435,NaN,NaN,-1.0721070928881,0.0652939787756668
4,10,188,1,55,3,1493.27679275996,1.512033753532,-2.25662457609783,0,0,1,1,1561.24301481213,4,338.684053571342,-0.668314836304281,0.494449211651831
3,10,189,0,73,1,2098.50425664172,-1.0969000485055,-0.465354917293362,0,0,1,1,1379.65819083274,3,800.422914905084,-0.611492402508266,1.29285481759387
