Bildnummer,Antwort_Emotionsrating,RT_Emotionsrating,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Bildes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
36,0,1909.576383,-.302865903964488,-.372252525033307,-.623136539737275,-.204209899773865,0,0,0,1,1,1,4317.475094,2,1397.630295,2,.953101070118791,.863709997782283,.137399215914585,.183865005994998
37, , , , , , ,1,0,0,0,0,0,2972.495762, , ,0,.745200244120017,1.00143362259113,-1.59878018973811,-1.19334324865421
38, , , , , , ,0,0,0,0,0,0,1696.380641, , ,0,.823909807468341,.637482500875253,-.620977722168123,-.412081595311402
39,3,2524.091087,.951586285990377,1.08980166329699,-.0517882965744272,.0139501789233538,1,0,0,1,1,1,1899.87088,4,372.9666871,4,.260808741048861,.236863152795035,-1.32308344763928,-.895685076899987
40, , , , , , ,0,0,0,0,0,0,2512.71419, , ,0,.776587023547034,1.12157058861366,-.406684916339393,-.304951838189422
41, , , , , , ,1,0,0,0,0,0,3162.567625, , ,0,1.04213126260758,.716309980269341,-.715056716609609,-.654170938501678
42,0,2861.943724,2.0789744031723,1.83462166620002,-1.70096828007188,.197009294668077,0,1,0,1,1,1,3022.993233,3,2742.412339,3,.311309766428168,-.0474939673829339,-.835588350001869,.135760092497261
43,3,2227.454966,-.697966614388886,-.708864841983323,.12256630389973,.510849003988759,1,1,0,1,1,1,1963.268121,4,1038.33617,4,.987374554865447,.396189116635707,-.360638457540395,.141161758624056
44, , ,-.165203328138432,.104554737385243,1.0705874904333,.492015658113635,0,0,0,1,1,1,1162.108772,4,236.8217011,4,.259677360211774,-.116344496878211,.321982168401409,.228997954169659
45,3,1675.091779,-.541558286784395,-.238729756705635,-.756549761145679,-.387835150061366,1,0,0,1,1,1,2239.195898,4,2277.764643,4,-.399000384799096,-.988043893524167,.547871042636857,.873315769733094
46, , ,-.0494021522087859,.124571198233973,-1.09274102531941,-.194963237596364,0,0,0,1,1,1,1144.799047,4,288.1715222,4,-2.87014846256263,-2.59593805902462,1.2032291771809,1.3370680523612
47, , , , , , ,1,0,0,0,1,2,1379.473032,3,1155.312109, ,.440401769096662,.473063657396064,-.506085905127298,-.541572911533811
48, , ,1.00149668583091,.819855447342398,-.565919290339849,.0622983094160386,1,1,0,1,1,1,2186.671008,3,992.7816111,3,.0814736708539118,-.102103600302992,-.0306101304449352,.633850325566071
49,0,2829.201865,-.189811687636311,-.606098320917063,-1.07762847475569,.470619359388583,0,0,0,1,1,1,990.4053714,4,229.0151784,4,-.0672454580550154,-.607985344496495,-.312825987203334,.359179988513175
50, , , , , , ,1,0,0,0,0,0,3068.744236, , ,0,.419314432538679,.279488967663816,.360690434824413,.418754541418867
51, , , , , , ,0,0,0,0,1,2,4126.710754,2,1307.182097, ,.232351885350741,.519593467229101,-.99560622352254,-1.02065401711098
52, , , , , , ,1,0,0,0,0,0,2697.142848, , ,0,-2.17589133717832,-2.25802770374705,.366626289841205,.48200782503919
53, , ,.918515526265519,.147754943616544,-1.12133142214987,-.511991223039921,0,1,1,1,1,1,1302.764122,4,272.3108238,4,-.945897873889329,-1.19234530505805,.436360215625608,1.03653458452003
54,3,1797.692165,.223413184623829,-.186406336392297,-.306758930029204,.0303322828526668,1,1,0,1,1,1,3554.8723,2,960.2375801,2,.153566724792884,-.288342056389222,-.965179421911476,-.529887962982961
55, , , , , , ,0,0,0,0,0,0,3458.279293, , ,0,-1.37236599900095,-1.38355278255604,.95415211747893,1.15520047228138
56, , , , , , ,1,0,0,0,0,0,2933.238913, , ,0,-.380132355512425,-.358666305069847,.537574890313217,.472094947598926
57,0,2799.821576,.109226086191636,.189096568593252,-.506797076120482,.290802627398885,0,0,0,1,1,1,1338.59072,4,278.8136395,4,.726775756283634,.410469892614175,-.277944779562212,.103946397349288
58, , , , , , ,1,0,0,0,1,2,2242.425331,4,998.7803631, ,-1.05144296405099,-.133689604804775,-.0104982053356317,-.37820148357167
59, , , , , , ,0,0,0,0,1,2,3829.568869,2,1975.244646, ,-.266917013227708,.217150138693944,-.0572875416820908,-.352416689455831
60, , , , , , ,1,0,0,0,0,0,4442.817983, , ,0,-.979170337900325,-1.41565638333809,-1.67537000393995,-.994368710637559
61,0,1649.651589,-.859441996502725,-.45628833055921,.0818558284515331,-.229712328838855,0,1,1,1,1,1,1326.965465,4,382.750905,4,.193718004981803,-.0377559134411509,-.0924032908586783,.323367251112309
62,2,2096.871838,.968557513517394,.429365065132358,-1.74761236605999,-.491256045613864,1,1,1,1,1,1,1041.364904,4,432.0245472,4,.292914985199232,.345134948381549,.140052326213109,.190120954452292
63,0,2927.317731,-.0260607348271186,-.332448533873582,-.317231106170782,-.0421073854089032,0,0,0,1,1,1,1363.331318,4,232.6959691,4,.600061859198731,1.04237471035017,-.587894163823267,-.702330471322331
64, , , , , , ,1,0,0,0,1,2,2401.970959,3,682.6269181, ,-.745837329673494,-.620716549878319,.274505161806385,.582836909935942
65, , , , , , ,0,0,0,0,0,0,1317.594548, , ,0,1.0089421864782,1.15981048160528,.164904721058478,.147414313262038
66, , ,-1.28851224119497,-1.34568717998292,.169106072587576,.049874546815327,1,1,1,1,1,1,4506.253398,3,1916.843569,3,.41465883488973,.177791661733271,.0735380224740193,-.243794201528454
67, , , , , , ,1,0,0,0,1,2,2095.089125,3,1924.718944, ,.621097530611228,-.0675621690412376,.0612960031243468,.340556305193101
68, , , , , , ,0,0,0,0,0,0,1609.19107, , ,0,-.661360440365814,-1.02707919045037,-1.34256392294101,-1.28229337068345
69,3,1502.310016,.648052835309152,.437653394331719,-.952147865823139,-.286312824801503,1,1,1,1,1,1,1614.5525,4,340.6425184,4,.215059448008452,.396953605047226,-.623013184300674,-.347110523687574
70, , , , , , ,0,0,0,0,0,0,1671.450775, , ,0,-.416233260058732,.124653164441213,.228669950252832,-.226440302326629
71, , ,-.0149645533352032,-.446029861805403,-.588792872458448,-.11188316163118,1,0,0,1,1,1,1293.806269,4,434.0747418,4,.715757349341525,.606377405157696,-.343543102926701,-.15435838473596
72, , , , , , ,0,0,0,0,0,0,3024.390612, , ,0,.295939548397149,.0158391730447926,-.545992739260956,-.11854360814275
