Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,filter_$
117,1.09206943532907,1.06792735283827,-1.43173353842498,-1.32200465786321,1,0,0,1,1,1,582.2476931,2,428.0949608,2,1.01260208849754,1.37035051510687,.899903182890685,1.06170227582954,1
118,-.824982292483746,-.744035150905417,-.0207007758506756,-.00824653367993278,1,0,0,1,0,3,1490.24188, , , ,.0636520496672421,-.625961499863385,-.630297794651628,-.464007657533635,1
119,-1.00467652729856,-.665550899330837,.760178490960573,.503891644167272,1,0,0,1,0,3,1152.356618, , , ,-1.12564377835353,-1.15141719989985,2.31737351463024,1.86622201279352,1
120,-.403491495302132,-.575407755312197,-.535057553584582,-.40123651801353,1,0,0,1,1,1,1826.491963,1,1051.738612,1,-.62860928845086,-.609715236918727,-.68897123846502,-.578271041934046,1
121,-.728091161071609,-.159668712551164,.272560215367113,.0605693680629926,0,0,0,1,0,3,1009.495763, , , ,-.0825746015810814,-.216807460759115,-.385672792667464,1.36864274179493,0
122, , , , ,0,0,0,0,0,0,1119.190578, , ,0,-.540446803302391,-.820796756579703,-.487117531970974,-.172953758654331,0
123, , , , ,0,0,0,0,1,2,716.4917548,2,325.6208528, ,-1.13418793514192,-1.26622012808808,.904777404598982,.884552065492076,0
124,1.03607495864628,.546120825159422,.444779170013636,.319624270905189,0,0,0,1,1,1,1157.638779,1,1002.278585,1,-.628182794051393,-.586095208873738,1.78274658980248,1.20977707093393,0
125,2.74532652020478,3.36700407015899,-4.09415344602068,-4.09852723892932,0,0,0,1,0,3,935.0059418, , , ,-.734501755063193,.0184935800444374,1.56706227921121,.665137591774619,0
126, , , , ,0,0,0,0,0,0,1495.194697, , ,0,-.267185748782089,-.635853135973597,-.299155357345525,6.43929354282591E-015,0
127,-.333051355254726,-.396182627622298,-.2952735666477,-.326525281007421,0,0,0,1,0,3,936.6772688, , , ,-.101766849557424,.0585137949375168,-.293976496780487,-.083078401564482,0
128,-.658801064127014,-.833325205233025,.684850667726208,.59716278371967,0,0,0,1,1,1,1192.033773,2,537.3127577,2,-.799085192697868,-1.17299895141302,-.067325187345586,-.207424611765695,0
129,-.788180913193674,-.660716724415013,-.441329040705185,-.328439531045806,0,0,0,1,1,1,1536.705819,4,994.8432691,4,.843482941695523,-.0012896921759882,.90605540175422,.87585941557704,0
130, , , , ,0,0,0,0,0,0,1327.70985, , ,0,-.800429187654188,1.00573528672347,.892623554824708,.533580052196122,0
131, , , , ,0,0,0,0,1,2,1068.946856,1,911.7751505, ,-.467333477678243,-.786026156919558,.348202213285079,.448121090447531,0
132,-.915835697606121,-.737210433377183,.550870646248289,.910246700326979,0,0,0,1,1,1,2163.698218,2,1514.586251,2,-.521863833039594,-.41913638119529,.835624384112819,.507770653657602,0
133, , , , ,0,0,0,0,0,0,746.5762675, , ,0,-.959934509071024,-.720381662733608,.685437427726512,.101913826590084,0
134, , , , ,0,0,0,0,0,0,1497.361122, , ,0,-.134363207231533,-.729973552295021,.380493932102409,.482591943558886,0
135, , , , ,0,0,0,0,1,2,1103.970923,2,244.4274425, ,-.466419561107936,-1.00214341860027,1.86438980341613,1.6770819405043,0
136, , , , ,0,0,0,0,0,0,717.4974377, , ,0,-1.07600191349937,-1.19128349088951,1.40834543483541,.996957021289968,0
137, , , , ,0,0,0,0,0,0,1006.714497, , ,0,-.0990250998465185,-.49737023043062,-.0158412205519013,.0800323285280937,0
138,-.234435159188358,-.159099986090479,-.265372445974507,-.339245333798849,0,0,0,1,1,1,1062.646822,4,492.4410184,4,1.80801414351703,.895525916899373,.962354148528045,1.18552366539889,0
139,-.390841021171163,-.344220449043584,-.250709396413635,-.035545403792834,0,1,1,1,1,1,1144.267207,4,589.4295838,4,-.864582546902841,.298456856618344,.487117531970969,.665437338323419,0
140, , , , ,0,0,0,0,0,0,865.0925405, , ,0,-.967245841633431,-1.20956803036596,.395116597227224,.37798039802967,0
141, , , , ,0,0,0,0,1,2,1437.987051,1,483.2657264, ,-.258960499649371,-.83218712543388,.988857729066799,1.04521621564584,0
142, , , , ,0,0,0,0,0,0,1571.810085, , ,0,-.608381268361517,-1.12983544838666,1.12185946994486,1.04149583201081,0
143, , , , ,0,0,0,0,0,0,904.1117511, , ,0,.348794019601473,.35480920779168,.292148663639878,-.0233802308059602,0
