Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,hit_rate,filter_$
192, , , , ,0,0,0,0,0,0,1712.306352, , ,0,.890388403706958,.993601616248449,-.69064173331065,-.726070901565707,1,0
193,-1.2773118201341,-1.30206611987482,-.961545654737475,-.876842648413051,0,0,0,1,1,1,3540.16383,1,1883.711717,1,-.651309223643247,-.585929947385187,.392240571480442,.431805860833285,1,0
194,.192649412957443,.316477453980439,-.355622081247605,-.434034167464551,0,0,0,1,0,3,2896.858967, , , ,-.568598034761916,-.644929827933716,.464045755931892,.455318112625152,0,0
195, , , , ,0,0,0,0,1,2,1448.552664,3,393.7499479, ,-1.0397537544061,-1.04880659508877,1.31344932020138,1.17269146685709,0,0
196, , , , ,0,0,0,0,0,0,1708.478781, , ,0,.468625546809424,.402681271272514,-.581893654289489,-.485111577693202, ,0
197,-1.0258047806539,-.943872392871179,1.17549707297347,1.02256715991167,0,0,0,1,1,1,1648.770667,3,704.2919347,3,-1.53058994561743,-1.45496186591804,.325542403314525,.314070442794827,1,0
198,.206828164840898,.228206356800647,-1.3767429861966,-1.41572832334801,0,0,0,1,1,1,2016.840092,3,486.4963614,3,.485404450274298,.543181391971764,.270050408297627,.127746771092229,1,0
199, , , , ,0,0,0,0,0,0,1566.283503, , ,0,.824703518109562,.718674448927522,-.273940888571081,-.241553846703625,1,0
200, , , , ,0,0,0,0,1,2,1620.08153,2,1010.003266, ,.952412863922152,.745069949288684,-.0045223283470609,-.04825572445327, ,0
201,.517502711937347,.492699167038324,.673411215699549,.968222351441422,0,0,0,1,0,3,3025.432879, , , ,.105798870129826,.125323003558073,1.02513292886109,1.25034251195956,0,0
202, , , , ,0,0,0,0,1,2,4902.428384,1,294.0746434, ,-.592466727282707,-.667571594773949,.120851659579072,.171812122550793,0,0
203,.174447140266441,.0905930669643838,-.184076076945269,-.0835936710120125,0,0,0,1,1,1,4283.39549,1,1058.618418,1,-.0736335809214922,-.136561183409506,.0511156029692162,.0171138459089647,1,0
204,.207275161366764,.135514595161979,-.0660084499186518,.0073351295776784,0,0,0,1,1,1,2042.289652,3,387.5187577,3,-.350484356802754,-.275096659309747,.870249640749767,1.03038735612434,1,0
205, , , , ,0,0,0,0,0,0,4418.232029, , ,0,-.162287243120077,-.329698014167396,-.332229830532103,-.184950112263046,1,0
206, , , , ,0,0,0,0,0,0,2045.573818, , ,0,-1.05743957466686,-.974952900888014,1.75979720592907,1.70544616423108, ,0
207,.315340850074182,.327879180525985,.337289702939564,.308612664346589,0,0,0,1,1,1,1426.969489,4,493.7559786,4,.416696358398575,.539203362667112,.61569902499325,.83667930842244,1,0
